热门目的地								
景点	概述	州属	门票	开发时间	温馨提示	历史	特色	著名景点
吉隆坡塔（KL Tower）	吉隆坡塔在吉隆坡市区，塔身净高421米，是吉隆坡的象征。吉隆坡塔可以说是南亚第一高塔，也是世界排名第四的通讯高塔。这儿可以俯瞰整个吉隆坡的风景，塔上276米处有一个360度旋转自助餐厅，游客可以一边享受美食一边欣赏吉隆坡美景。	吉隆坡>吉隆坡——900米(约4分钟车程)	"成人47马币(大约78人名币);儿童27马币(大约45人民币)
"	9:00-22:00（21:30以后停止售票）	内设有旋转餐厅，可360度观赏吉隆坡美景。			
云顶高原（GentingHighlands）	云顶高原有“南方蒙地卡罗”之称，它是马来西亚新开发的旅游和避暑胜地，位于吉隆坡东北约50公里处。云顶高原面积约4900公顷，海拔约2000公尺，全年气温于22℃左右，是东南亚最大的高原避暑地。	吉隆坡>彭亨——56公里 (约1个小时8分钟车程)	缆车单程4马币（大约7人民币）;往返票7马币（大约12人民币）	全天24小时开发（缆车开放时间为7:30-23:30）	云顶高原里有全马最大的赌场并且24小时开放。			
双子塔Petronas Towers	马来西亚首都吉隆坡的双子塔(Kuala Lampur Petronas Tower)是吉隆坡的标志性城市景观之一，是世界上目前最高的双子楼。双子塔于1998年完工，共88层，高1483英尺(452米)。它是两个独立的塔楼并由裙房相连。又名双峰大厦。	吉隆坡>吉隆坡——2.8公里(约15分钟车程)	成人票85马币（大约140人名币）， 儿童（3-12  岁）35马币（大约58人民币），2岁及以下儿童免费 。	周二至周日：9:00-21:00（周五1:00-2;30休息），周一和公共假日不开放。	每天8：30开始售票，每天限量800张。先到先得。			
乐高主题公园 Legoland	马来西亚乐高主题乐园占地约9万3千多坪，园内设有超过四十种的游乐设施、表演与景点，主要分成七个主题园区，有入口处、乐高城、小人国、探险之地、幻想乐园、乐高王国与乐高技术园区。	吉隆坡>新山——329公里(约3小时39分钟车程)	约500马币（大约813人民币）——根据配套付款	每天早上10.00-晚上7.00	里面含有玩水乐园。			
荷兰红屋Stadthuys 	荷兰红屋是荷兰殖民时期所遗留在马六甲的红色建筑物，建于1650年，是东南亚最古老的荷兰建筑。红屋曾是18世纪时的荷兰总督官邸和荷兰人行政中心，后来易主为英国人的行政中心，如今则是马六甲博物馆，展览马六甲王朝、荷兰、英国和葡萄牙的历史文物。	吉隆坡>马六甲——145公里|约2小时30分钟车程	马来西亚人 成人5令吉，儿童2令吉, 外国旅客10令吉（约16.2人民币），儿童4令吉（约6.8人民币）	周二、三、四、六9:00-17:30；周五9:00-12:15， 14:45-17:30；周一不开放	附近仍有许多景点仅需步行的距离			
兰卡威（Langkawi）	浮羅交怡（Pulau Langkawi， Langkawi Island）别譯蘭卡威、浪交怡、朗卡維、凌加衛島、呼羅交怡，古译龙牙菩提、龙牙交椅，位於馬六甲海峽，是馬來西亞吉打州海岸104個大小群島中最大的一個。	吉打				元代航海家汪大淵曾訪問龍牙菩提。龍牙菩提來自Langapuri，乃浮羅交怡的古名。汪大淵在所著《島夷志略》中有專章《龍牙菩提》：當時龍牙菩提沒有稻田，只種薯芋，收成後堆存屋內，作為儲糧。還種植果類，和採集蚌、蛤、魚、蝦補充薯芋食用。	一向不是那么偏爱海岛，感觉海岛太休闲，是一个让人发懒的地方，喜欢到处兜兜逛逛的人实在无法适应海岛的安逸生活。海岛吸引我的唯有美食，而且是海鲜以外的美食，海岛出海鲜不稀奇，但是有其他的美食就让人心生向往。	珍南海滩，天空之桥，兰卡威海底世界，孕妇岛，巨鹰广场
槟城（Penang）	这颗东方明珠有着悠久且辉煌的历史。于1786年被船长 Francis Light 所“发现”并命名为Prince of Wales岛。它曾经有很长的一段时间被视为大英帝国的其中一颗“宝石”。除了马六甲和新加坡曾经是海峡殖民地之一，	槟城				元代航海家汪大淵曾訪問龍牙菩提。龍牙菩提來自Langapuri，乃浮羅交怡的古名。汪大淵在所著《島夷志略》中有專章《龍牙菩提》：當時龍牙菩提沒有稻田，只種薯芋，收成後堆存屋內，	槟城的美食也是其中一个最具吸引力的地方 – 从槟城 Macalister路的叻沙关到小印度香蕉叶上的食物到Gurney Drive的海鲜，这一切你都可以在这里找到。	升旗山，圣乔治教堂，姓氏桥，爱情巷，槟威大桥
热浪岛（Pulau Redang）	热浪岛群岛实际上是由九个岛屿所组成，即Lima，Paku Besar，Paku Kecil，Kerengga Besar，Kerengga Kecil，Ekor Tebu，Ling，Pinang 和 Redang 自己本身。它们于东马登嘉楼的45公里外形成一个海洋公园。	登嘉楼				2000年，这座马来西亚岛屿被设置为香港电影“夏日的么么茶”的电影场景，由流行歌曲明星郑秀文和台湾小天王任贤齐主演。	热浪岛和一些其他的度假海岛的区别是，这里的度假村都在沙滩边上，身后是丛林、山丘，并且每块沙滩之间不是完全连接，所以在这里只要离开所在的沙滩，就要乘船走（当地人可以通过丛林山路穿越去别的沙滩）。在这个岛上。	奶奶茶室，浪中岛，棉花岛，平安岛，海洋生态公园
邦咯岛 (Pulau Pangkor)	尽管仅有八平方公里大，邦咯岛是马来西亚最受当地人欢迎的海滩度假岛屿之一 。邦咯岛是马来西亚最方便的岛屿之一，也是绝大多数国人能在一个长周末休时休息与放松的好地方。	霹雳				在17世紀時，為控制霹靂州的錫貿易，荷蘭人開始在邦咯島修築堡壘，以加強對當地的控制，此堡壘為現今旅遊景點之一。1874年，英國政府與霹靂州蘇丹在當地簽訂《邦咯條約》	邦咯島除了有水清沙幼的海灘以外，當地廉價的五星級住宿亦是吸引遊人的一個重要因素。位於島西北岸的直落尼巴（Teluk Nipah）和珊瑚灣渡假村（Coral Bay）都是來自歐洲的背包客熱愛前往的地方。 	邦咯海滩，邦咯岛，尼邦海滩，福临宫
兰卡威天堑飞桥Langkawi Sky Bridge	天空之桥(Skybridge)，位于马来西亚的兰卡威(langkawi)群岛，建成于2004年10月，总长125米，桥形呈圆弧状，主体由钢材料构成。特别让人觉得惊讶的是，这么个又大又重的“钢架”居然只用了一根支柱来支撑.	吉隆坡>兰卡威——个人来回约500马币（约810人民币），机场>目的地——12.3公里（大约20分钟车程）	免费	开放时间基本为9:30-19:00	需要缆车来此目的地			
